"D","d","d","U","d","l","l","u","R","l","l","l","u","R","l","U","d","l","l","R","u","l","R","l","D","R","R","l","l","l","l","l","l","l","u","d","u","r","l","u","l","u","r","d","D","l","l","l","l","R","u","u","R","l","d","l","R","u","u","R","l","R","R","U","l","u","D","u","r","L","l","R","u","D","l","R","u","l","u","R","R","u","R","l","R","D","R","l","R","l","l","d","D","R","d","d","R","l","l","l","R","l","u","u","l","l","R","R","R","R","R","l","R","l","R","u","l","l","l","l","l","d","R","R","u","u","R","R","u","u","r","R","l","l","R","u","R","l","l","d","l","R","d","d","R","u","l","R","l","R","l","l","l","U","R","d","R","u","R","l","u","l","l","d","r","R","l","D","u","D","d","l","l","l","u","u","D","R","l","u","l","u","l","R","l","l","D","R","R","R","d","R","l","l","r","l","l","R","d","l","R","l","u","u","D","D","l","l","D","u","l","R","R","R","l","d","R","l","L","r","L","r","r","l","u","l","d","R","D","R","R","R","l","R","R","u","D","l","l","R","R","l","u","d","u","u","u","r","R","u","R","r","r","l","r","D","R","l","R","u","R","u","R","l","l","D","l","l","R","l","l","l","R","l","u","R","R","l","d","l","d","d","r","l","l","R","R","d","R","d","d","D","l","D","R","u","R","l","u","R","D","r","d","R","d","u","R","r","D","r","D","D","R","d","u","R","R","R","u","D","D","u","R","d","d","l","l","R","R","L","R","R","l","U","l","l","U","l","R","l","l","d","R","l","R","u","R","R","R","d","R","l","u","R","R","u","R","l","l","R","d","l","l","R","r","l","D","d","d","r","l","R","l","R","R","R","L","d","R","u","u","R","R","d","l","l","D","R","r","R","u","r","R","l","l","u","l","l","u","l","d","d","R","d","l","R","l","u","u","l","r","l","u","l","d","l","R","R","R","R","D","l","u","R","u","R","R","l","u","R","l","u","r","R","u","r","R","R","R","L","r","R","R","u","d","D","d","L","d","d","l","u","D","d","R","l","u","R","u","d","u","l","l","R","R","R","l","u","l","R","l","u","l","u","L","D","l","D","R","R","R","D","R","l","l","l","u","u","l","R","u","R","l","l","u","D","u","D"
"l","R","R","l","R","l","R","l","l","R","u","l","d","l","r","u","l","R","u","d","u","r","l","l","l","u","d","l","u","d","u","R","R","l","d","R","d","L","R","R","u","R","R","l","l","R","R","d","u","u","R","l","R","l","l","D","l","r","u","d","u","l","l","d","u","l","r","D","l","l","d","R","l","R","u","d","R","r","l","u","R","D","R","d","u","l","R","L","R","l","L","u","r","l","l","R","D","u","d","l","R","d","d","l","R","R","R","d","l","l","D","R","u","r","r","R","l","R","u","R","l","D","R","l","u","l","r","u","u","R","R","r","R","d","u","l","U","l","u","l","d","R","r","d","l","R","R","u","u","D","l","u","l","R","U","D","d","R","d","R","U","D","R","u","D","l","R","D","R","R","R","l","R","l","l","l","D","u","D","u","u","l","D","r","l","l","l","l","r","R","l","R","u","D","r","l","L","l","d","R","R","u","R","R","D","d","u","D","R","d","u","D","R","D","R","d","l","u","D","l","l","R","l","l","l","R","R","R","u","l","u","R","D","l","l","D","l","R","R","R","u","R","D","l","l","R","R","R","u","R","d","l","d","l","r","D","R","l","l","R","R","R","l","l","d","l","l","l","u","u","R","R","R","R","D","R","d","r","d","l","l","R","D","u","R","R","r","d","l","R","l","R","l","d","l","u","l","l","l","l","l","d","l","R","R","r","R","l","R","u","u","u","l","U","R","R","l","D","l","l","l","R","R","R","R","R","R","l","D","l","R","l","R","l","l","l","l","l","R","l","u","l","d","l","u","R","r","l","R","D","R","d","u","d","u","r","d","R","R","D","l","R","d","R","R","l","R","d","l","R","u","l","D","u","u","R","u","l","l","l","l","u","r","R","l","R","d","l","R","u","D","R","u","R","l","u","R","D","u","l","L","R","l","R","l","d","R","l","l","u","l","l","R","u","R","u","u","D","r","l","u","R","l","d","L","d","l","r","r","l","U","L","l","u","R","R","d","R","l","R","l","u","r","l","D","l","l","l","R","u","R","l","l","l","l","d","u","R","l","l","d","R","u","R","l","u","R","R","R","d","u","l","l","R","r","u","l","L","d","R","d","l","R","D","u","R","l","u","l","l","u","u","u","R","l","l","R","R"
"l","u","R","d","R","l","L","R","d","l","d","R","R","u","R","R","l","u","r","l","r","R","u","d","D","l","l","u","u","R","D","l","l","l","R","u","D","l","l","d","R","u","l","R","l","l","R","R","D","u","l","R","d","u","R","d","l","l","R","R","r","l","R","l","R","l","L","u","u","R","R","l","R","l","u","l","d","R","R","R","l","r","u","R","l","d","u","R","l","l","R","R","R","R","R","R","R","d","r","d","r","d","l","l","l","D","u","R","d","u","u","u","R","D","l","U","D","l","R","R","D","R","l","R","R","D","r","l","R","r","L","l","R","l","R","r","l","l","d","l","u","R","d","r","l","R","R","u","l","u","D","R","l","l","D","U","u","R","R","l","R","R","u","D","R","d","l","R","l","l","R","u","R","l","l","R","l","u","u","u","r","R","u","u","l","R","l","l","L","R","D","L","R","R","l","r","R","D","R","l","R","u","R","l","R","D","u","D","r","u","d","l","d","R","l","R","u","d","R","U","R","d","u","u","d","u","R","d","u","d","l","u","R","l","l","l","u","l","r","l","L","R","l","l","l","R","l","D","R","l","R","R","R","u","l","l","R","R","R","l","R","D","l","l","R","l","u","l","d","D","l","D","D","u","l","l","d","u","R","l","u","l","D","l","u","l","R","d","r","R","d","R","R","l","R","d","D","l","r","u","d","u","r","u","l","D","R","D","u","D","u","u","d","u","l","R","R","R","R","l","d","r","l","l","R","R","l","r","D","u","u","R","d","l","R","R","u","R","R","D","R","d","D","d","R","l","l","R","l","l","l","R","l","u","r","R","u","u","u","u","l","d","l","u","u","R","u","U","l","l","d","u","d","l","R","l","l","R","R","D","d","R","l","l","R","r","D","l","l","D","R","R","u","l","r","u","l","l","u","l","R","D","d","R","l","l","R","r","R","R","u","l","R","r","R","u","l","l","l","R","l","u","d","l","R","l","l","u","D","u","u","u","u","R","l","l","L","d","d","l","l","l","R","l","d","l","l","R","U","R","u","R","l","R","d","u","U","R","d","d","r","R","R","u","l","l","R","u","l","l","R","l","R","l","l","r","l","l","l","u","l","d","l","L","d","d","R","l","D","R","R","R","l","R","l","d","D","l"
"R","d","l","R","R","D","r","D","u","l","d","R","R","R","d","U","R","d","R","r","d","u","u","R","R","D","u","R","R","R","u","d","u","l","l","l","R","l","l","r","R","d","l","d","R","r","d","D","u","d","R","R","D","R","u","l","R","l","R","R","u","D","R","R","R","D","l","l","R","r","l","d","l","u","R","u","l","l","l","R","R","R","l","l","d","l","l","l","l","r","R","u","R","l","l","l","R","R","u","D","R","R","l","d","r","R","d","u","l","d","R","D","d","l","l","u","l","d","R","R","l","l","L","l","r","l","l","D","D","l","R","l","d","R","R","R","u","u","u","l","U","d","D","u","u","d","u","d","u","l","d","l","R","R","d","l","u","l","R","u","l","u","l","d","R","l","l","r","d","l","l","u","u","u","r","R","l","l","l","u","l","D","u","l","R","u","D","R","R","D","D","u","R","l","l","R","l","r","D","l","d","l","R","l","u","l","u","R","l","u","l","d","l","R","u","l","R","u","R","u","u","d","d","l","R","D","d","U","l","d","d","R","R","R","r","R","l","R","U","R","r","u","u","R","d","l","l","l","R","R","D","R","l","R","R","R","r","R","D","R","R","u","l","R","l","u","D","R","l","R","L","l","l","R","R","l","D","R","l","l","l","d","R","R","R","R","u","l","d","u","u","R","R","u","d","l","R","r","R","l","u","l","l","R","u","l","d","r","R","u","l","R","u","d","l","r","d","u","d","l","l","r","d","r","d","u","l","L","l","l","R","R","d","R","R","l","l","u","l","u","D","R","u","L","u","l","u","R","d","l","l","u","l","D","R","R","u","l","l","r","l","l","l","R","R","R","u","l","R","R","d","R","u","l","u","D","u","R","u","R","l","l","L","l","l","u","u","u","U","l","R","D","l","R","l","D","u","l","u","R","D","D","D","R","u","l","u","R","u","R","D","l","l","d","l","l","l","d","l","R","d","u","l","D","l","R","u","d","l","R","R","R","l","u","r","l","l","u","l","R","u","l","D","R","u","l","l","l","R","l","R","l","l","r","l","R","R","R","L","D","d","R","D","u","l","R","R","l","l","R","r","R","r","u","U","L","R","r","D","l","l","r","l","l","l","R","R","l","l","l","R","R","R","u","l","R","l","R"
"u","d","l","R","u","R","l","R","R","u","R","R","d","d","u","l","l","l","R","d","u","R","D","u","D","u","R","u","l","l","l","u","l","d","u","R","l","l","d","R","R","u","D","l","R","D","R","R","d","u","R","R","u","l","D","l","l","l","u","l","R","l","l","R","R","u","l","l","l","R","R","u","l","d","R","u","l","l","r","l","l","D","R","l","R","d","l","R","l","R","l","l","R","l","l","u","l","u","l","r","l","R","l","l","r","R","R","d","d","l","l","U","R","R","r","R","R","l","u","L","R","L","l","d","l","R","D","R","l","R","d","u","u","l","r","R","l","R","u","D","l","d","d","u","l","R","l","r","l","R","l","u","D","l","r","R","D","u","r","l","u","D","R","R","u","R","l","u","R","l","l","D","l","l","R","d","R","R","l","R","l","R","R","R","u","R","R","l","r","R","l","R","d","l","R","d","R","R","u","l","u","l","u","l","l","R","u","l","l","R","d","l","R","l","R","d","D","u","l","u","l","D","r","r","d","r","u","D","L","u","D","d","l","D","R","l","R","l","u","D","u","l","l","l","R","u","d","l","R","R","R","R","u","l","R","l","R","r","d","d","d","R","R","D","l","R","l","l","R","R","u","R","R","l","u","l","l","l","R","l","l","R","l","R","R","d","l","R","l","L","l","R","u","D","l","r","R","d","r","l","u","D","l","R","l","R","R","r","R","R","r","u","R","d","R","R","l","R","R","d","d","u","d","R","l","u","l","u","l","u","l","r","r","d","U","l","R","l","u","l","d","R","r","R","d","R","l","R","l","R","U","R","d","R","D","d","l","l","R","L","l","R","u","U","l","l","l","l","D","D","R","D","l","l","R","l","D","l","R","R","D","l","R","u","l","l","l","l","l","d","u","u","d","l","R","R","R","r","l","l","u","R","u","D","l","l","l","l","l","u","R","l","D","R","d","l","l","R","R","r","R","u","R","u","d","l","R","r","R","u","u","L","u","r","u","U","R","l","R","L","u","d","u","R","l","R","u","d","l","R","D","l","d","l","u","u","D","l","l","u","D","R","R","d","d","D","R","R","d","R","R","u","l","l","u","l","L","l","u","U","r","u","u","R","r","D","D","D","u","R","l","d","u","u","d","u","R","R"
"R","d","u","l","R","u","R","l","u","R","R","u","u","u","l","R","R","R","U","u","u","U","R","d","R","R","l","r","u","d","R","l","R","l","l","d","R","l","u","R","R","R","r","l","u","R","R","l","d","R","l","R","R","l","R","l","u","R","u","l","R","R","R","l","R","l","R","l","u","l","R","l","d","D","l","l","R","d","D","l","R","D","r","D","R","d","D","R","R","u","l","l","d","u","D","R","u","l","r","u","u","l","D","r","l","l","l","l","l","R","d","R","u","R","R","l","l","l","R","u","R","l","d","R","l","R","d","u","R","u","d","l","l","D","R","d","u","d","l","R","l","l","D","R","l","u","l","l","d","r","u","l","d","l","l","l","u","r","l","l","l","R","R","u","D","R","R","R","l","l","l","d","r","l","R","r","u","R","l","d","L","l","u","l","l","u","R","d","u","r","D","u","R","R","l","l","u","l","R","R","R","l","R","R","R","d","r","R","u","l","l","R","l","u","R","D","d","u","u","l","u","l","R","R","R","R","D","l","R","R","u","l","l","d","u","U","u","R","R","R","R","R","R","l","d","R","u","D","u","R","d","u","u","l","r","u","R","L","R","u","d","d","l","U","L","D","D","l","u","l","l","l","R","R","D","R","d","R","d","R","R","l","R","R","d","l","d","R","R","R","l","u","d","R","u","R","l","u","u","l","d","R","R","u","d","r","D","l","r","d","d","l","L","l","R","l","R","l","D","l","l","L","l","R","R","D","l","R","R","l","r","u","l","u","D","D","u","u","u","L","u","u","l","D","d","u","R","d","D","R","u","l","l","l","l","R","u","d","d","l","D","d","R","R","l","R","r","R","l","D","R","l","u","L","R","R","r","l","l","u","l","l","l","l","l","l","u","d","D","R","r","l","u","l","D","R","l","r","R","u","l","l","R","l","l","l","u","R","l","d","l","l","r","R","l","d","l","R","l","l","u","l","u","D","R","l","l","u","u","d","l","R","d","r","R","l","r","R","l","r","R","D","l","d","D","R","u","l","R","l","l","R","U","D","R","U","d","u","u","u","D","R","l","R","R","d","r","l","r","R","R","r","D","l","u","l","l","l","l","R","u","l","R","l","l","R","R","R","l","l","R","l","R","l","l","u","R","l"
"r","u","R","L","l","d","l","D","d","R","d","l","d","r","u","R","l","r","R","l","d","r","l","u","u","R","R","R","R","d","l","R","d","R","l","d","l","l","d","R","R","u","R","l","D","u","R","d","l","l","u","l","l","l","d","D","D","R","R","l","l","l","l","l","l","R","d","l","d","d","u","R","u","R","R","D","l","R","d","R","R","l","R","d","R","R","u","U","u","d","r","u","D","r","l","R","l","R","l","l","l","l","R","r","l","l","R","U","l","R","D","d","l","l","R","u","r","l","l","l","l","u","R","u","r","r","u","d","u","R","u","u","R","d","R","R","R","u","R","l","l","l","R","R","R","R","l","l","u","r","R","d","u","u","u","r","l","R","D","l","l","u","u","u","u","R","D","r","R","u","L","R","d","l","d","R","l","D","l","l","R","u","u","L","u","R","d","l","u","u","R","l","R","l","u","l","l","R","R","l","l","u","u","D","R","u","R","l","l","R","R","R","d","D","l","R","u","u","R","u","R","R","l","R","d","R","r","R","u","R","R","r","R","l","R","D","l","u","l","l","l","l","d","l","R","U","u","d","l","l","R","d","R","R","u","l","R","R","r","R","l","l","R","u","l","l","u","R","l","l","R","D","l","R","l","R","R","U","l","l","r","l","l","R","R","d","R","L","R","U","D","R","d","R","l","d","R","l","l","r","d","u","R","d","l","u","R","u","u","R","l","u","l","l","u","l","R","u","R","l","U","l","D","R","l","l","R","R","l","u","R","D","R","R","l","R","D","l","l","R","R","D","l","d","L","R","r","l","D","l","R","r","L","R","R","u","l","R","R","u","u","d","l","l","D","l","D","u","u","l","l","R","R","l","l","l","l","R","u","u","r","R","R","l","R","D","R","u","d","l","u","l","l","l","l","D","l","D","l","d","r","l","R","R","d","l","d","u","l","l","l","d","R","R","u","D","l","u","d","l","l","u","l","D","D","R","R","l","r","u","u","D","u","u","l","R","d","R","R","u","d","l","u","l","l","R","d","l","R","L","r","l","u","d","D","l","l","D","u","l","l","R","l","R","l","R","l","l","l","L","l","R","R","d","R","l","R","d","l","D","u","u","u","D","u","u","l","R","r","R","D","u","R","d","R","l","R","D"
"l","l","l","D","l","l","l","l","R","d","u","l","r","d","R","R","U","l","u","R","u","R","R","R","u","u","l","l","l","d","R","R","D","R","l","R","l","r","u","d","r","R","d","R","D","u","R","D","l","R","D","l","R","R","u","R","l","R","u","D","l","u","l","U","R","u","l","u","l","l","D","d","r","D","r","l","l","L","l","d","R","D","r","R","L","l","R","l","R","u","R","u","R","R","R","R","D","R","l","l","R","u","u","R","R","l","R","d","d","u","R","R","R","u","d","U","R","u","D","l","R","R","U","D","d","R","R","R","r","l","l","R","u","L","D","u","R","d","L","l","R","D","r","d","l","R","l","R","u","l","u","R","l","R","l","l","d","l","r","l","u","u","R","u","r","u","r","u","l","l","u","u","U","u","u","R","R","R","R","l","l","D","r","u","R","l","u","d","R","D","d","R","u","R","r","d","R","R","d","l","R","u","d","r","R","u","l","l","L","d","u","R","r","l","d","R","u","d","l","r","u","R","d","l","d","l","u","R","l","R","l","R","R","R","l","d","l","R","l","l","l","D","l","l","l","R","l","l","u","u","l","l","R","D","u","u","u","l","d","d","u","l","R","l","u","R","d","u","l","D","l","R","l","l","l","u","d","R","r","d","r","u","l","R","u","l","l","u","R","R","D","D","R","u","D","l","l","l","R","l","l","u","R","l","R","R","R","l","R","d","R","l","d","d","l","l","u","l","l","l","u","l","d","R","d","d","R","R","l","l","D","d","l","l","d","l","R","R","d","R","R","l","R","R","l","l","L","L","l","R","u","l","l","l","l","D","l","R","u","d","R","u","R","l","u","R","D","l","R","R","l","l","d","R","l","l","R","R","l","l","r","D","D","d","R","l","l","R","l","d","d","R","l","D","R","D","l","R","l","l","u","l","r","u","R","d","u","R","u","L","l","l","l","u","D","R","l","u","u","l","R","d","u","R","l","r","R","d","u","l","l","R","R","d","l","D","l","R","l","R","D","r","d","R","l","R","l","l","u","r","u","l","R","u","d","l","R","l","u","l","D","l","R","l","R","u","l","l","r","R","D","l","R","R","R","R","l","R","r","R","r","l","R","l","l","R","u","R","u","D","u","u","l","R","u","R","l","R"
"r","D","D","u","D","d","R","l","u","R","u","l","l","r","l","D","u","u","l","l","d","u","d","l","l","R","D","d","R","u","R","u","d","R","R","l","R","R","u","l","R","R","R","d","u","l","R","R","u","d","u","D","l","d","l","d","u","R","l","d","R","d","l","R","l","l","R","u","R","u","l","u","u","d","d","R","r","R","u","D","l","l","R","d","u","l","l","R","l","R","d","R","r","l","l","d","u","l","l","u","R","u","l","l","d","l","u","l","u","l","l","u","u","l","R","u","D","l","d","l","d","l","l","R","R","R","u","u","l","u","r","l","R","l","u","l","R","l","l","d","u","l","u","l","R","u","u","D","r","l","R","u","R","u","l","d","r","d","R","d","l","D","u","R","D","l","R","r","R","R","R","L","R","R","R","d","l","u","D","R","U","l","R","u","r","D","l","l","l","R","l","l","l","u","R","R","u","D","l","u","l","u","l","l","u","l","l","D","l","R","R","l","u","r","d","r","R","R","U","d","R","d","R","U","R","R","u","l","r","D","D","R","u","l","R","R","l","R","R","u","l","R","l","R","R","R","r","R","L","R","l","R","R","l","d","u","R","r","D","r","R","l","d","l","l","l","l","R","d","u","R","l","u","r","D","R","l","l","R","r","u","R","u","R","R","l","R","l","R","l","u","D","R","l","l","R","R","u","d","R","l","R","l","L","D","L","l","d","R","d","d","R","l","u","d","l","u","l","l","D","r","R","l","u","D","R","R","l","D","R","l","R","l","u","R","l","l","u","l","u","R","u","R","d","l","d","l","l","R","R","l","R","R","R","d","l","r","R","u","l","D","d","R","u","d","d","l","u","R","R","l","D","R","R","u","R","l","D","D","u","u","D","U","l","D","r","l","R","l","l","L","D","l","l","r","l","D","d","u","u","R","l","l","R","r","R","l","D","R","R","R","U","l","l","r","d","l","R","u","u","R","d","l","l","l","L","R","l","l","l","r","L","l","l","l","l","R","R","R","l","d","R","d","u","d","R","l","R","l","R","R","u","u","l","D","R","R","l","R","d","l","l","l","D","D","r","R","l","l","l","l","R","R","R","l","u","R","l","R","u","d","R","l","R","R","l","r","u","R","l","l","d","l","R","R","l","l","U"
"l","u","l","d","u","d","d","l","l","u","R","d","R","R","R","D","l","D","D","u","R","l","D","R","l","R","R","l","u","u","R","l","u","l","R","u","u","R","l","l","R","d","u","l","L","R","R","l","l","d","l","l","l","R","u","R","R","u","D","R","l","u","R","R","l","R","u","D","R","r","R","R","l","r","l","u","l","d","l","d","D","u","R","R","R","R","R","R","l","l","u","l","l","l","u","U","u","u","R","r","D","l","l","R","R","R","l","r","R","R","u","r","d","R","l","D","u","R","l","l","d","u","d","l","l","R","u","r","d","l","R","r","R","R","l","l","u","R","R","U","l","l","D","U","R","R","d","R","u","u","u","d","u","r","l","l","R","l","d","l","R","l","R","R","R","d","l","D","d","R","D","d","u","D","R","R","l","R","R","R","u","R","r","d","R","r","D","l","R","R","d","R","l","l","u","u","D","u","l","l","l","u","l","l","l","D","l","R","l","d","R","R","d","R","l","l","u","d","l","R","l","u","d","D","R","d","u","l","l","R","R","R","d","d","l","R","d","l","D","R","u","R","L","R","d","D","D","l","r","l","d","D","R","R","L","l","u","l","R","l","D","R","R","l","l","R","l","D","l","u","d","R","R","R","R","R","D","l","l","r","l","l","R","r","D","R","l","r","L","r","R","R","u","l","u","R","R","u","l","u","l","R","d","l","R","l","L","d","u","R","D","l","l","l","d","r","l","l","R","u","l","R","R","d","r","u","R","R","d","u","l","u","u","r","l","u","l","R","l","L","R","l","l","l","l","D","R","R","u","R","d","l","R","D","R","u","u","l","u","R","D","R","u","d","R","D","r","u","R","l","R","R","l","D","l","u","l","R","d","R","l","R","u","l","l","l","l","D","R","R","R","u","u","R","R","l","R","u","u","d","R","r","l","R","U","r","r","l","l","u","R","U","u","l","l","u","l","l","u","d","l","l","u","D","d","R","R","R","l","l","l","d","d","u","R","u","u","L","d","R","l","l","l","l","l","u","u","R","R","R","L","l","l","R","l","l","U","l","u","R","R","R","R","l","l","l","R","l","l","R","l","l","d","u","r","l","R","u","u","u","R","l","d","l","d","u","l","D","l","R","r","l","r","l","l","l","D","l"
"u","R","l","l","R","d","R","l","l","R","l","D","l","r","R","u","l","d","R","d","D","l","l","d","R","R","R","R","u","d","R","r","D","R","u","l","R","l","l","u","R","R","l","R","D","l","l","r","l","R","u","l","R","d","R","L","u","R","l","R","l","R","R","u","L","D","R","R","l","U","D","d","u","l","u","R","u","l","d","u","l","r","r","l","R","d","R","d","l","l","R","l","l","d","R","l","l","R","D","d","l","R","l","u","R","D","R","R","R","L","l","r","r","R","l","l","l","R","l","l","R","d","R","u","R","u","R","R","R","U","D","u","l","l","d","R","l","R","l","R","u","u","l","d","d","u","u","D","l","d","R","U","R","R","l","u","l","R","R","u","l","R","l","l","u","R","u","l","R","R","d","R","u","R","R","R","d","d","l","D","l","l","R","R","D","R","R","d","r","l","l","l","R","l","l","d","u","R","l","u","l","l","u","u","D","l","R","u","R","R","u","R","R","L","D","l","R","d","l","l","u","l","l","l","r","u","r","R","l","R","l","U","R","l","u","l","u","d","u","d","u","R","l","l","l","D","D","R","l","l","D","u","d","d","u","l","R","R","R","D","R","r","R","d","l","u","l","R","R","l","R","u","R","l","u","r","u","D","R","D","R","D","u","R","D","u","d","u","r","R","l","D","u","d","l","l","R","D","l","L","u","u","l","l","l","l","l","R","R","l","l","u","l","l","D","d","l","R","d","u","R","l","l","r","R","r","R","U","d","R","l","u","d","u","u","l","u","u","l","l","u","l","l","R","R","u","R","l","d","l","R","R","l","l","u","r","u","l","R","l","d","l","R","d","R","d","u","r","l","R","l","R","R","u","R","R","r","R","D","l","D","l","R","r","D","R","r","r","d","l","L","R","u","l","u","R","l","R","r","u","R","R","u","R","l","l","l","l","u","D","R","R","r","L","u","l","u","R","r","D","R","l","U","d","u","R","l","l","d","d","l","u","u","R","l","l","l","R","R","r","d","u","l","l","l","u","l","L","u","R","d","d","l","D","R","u","l","R","u","D","R","d","l","D","l","d","u","R","u","R","R","D","l","l","u","l","l","d","l","l","R","l","l","l","R","l","l","u","l","R","R","l","R","D","D","R","R","R"
"l","d","l","l","D","R","D","R","l","d","R","l","D","d","R","l","u","R","l","l","u","R","u","l","R","u","l","D","R","D","R","l","l","D","l","R","l","l","u","R","r","l","u","R","l","R","l","r","R","l","u","R","l","R","l","d","l","l","u","d","D","R","R","D","u","l","d","R","l","D","l","D","D","u","R","R","d","R","R","r","r","r","u","u","l","R","l","u","u","R","u","R","d","l","u","l","R","l","R","u","R","R","l","r","l","l","l","d","l","U","R","D","l","R","R","R","R","l","d","R","l","u","R","l","u","R","R","d","d","l","u","R","R","u","l","l","l","u","u","u","l","R","d","l","R","r","R","l","U","d","u","R","r","u","r","l","u","R","l","D","l","u","R","l","R","l","R","D","l","r","l","u","l","R","R","d","u","u","d","l","R","u","R","u","U","u","r","l","l","R","u","l","R","l","D","D","l","l","d","d","R","r","R","R","R","R","l","r","u","R","u","u","R","u","R","R","R","R","l","l","l","d","l","u","u","l","u","L","r","R","D","u","R","l","D","l","d","L","R","L","u","R","R","u","d","l","d","l","R","l","u","R","l","R","u","r","U","R","l","l","l","R","l","l","u","u","d","l","r","R","l","R","d","l","l","r","u","l","R","R","R","R","u","u","d","l","R","D","l","R","R","D","D","l","R","u","D","l","l","l","R","D","R","l","R","R","L","d","D","l","l","u","l","R","R","u","R","R","l","R","l","l","D","l","r","l","u","R","l","u","R","l","l","l","l","d","l","l","d","R","R","l","l","R","d","l","R","u","l","d","L","l","l","l","R","R","d","R","r","d","l","u","R","R","R","d","D","u","R","u","u","u","r","u","l","D","R","l","R","R","R","l","d","l","D","d","R","d","R","R","R","u","R","R","u","R","u","l","D","R","d","r","R","d","r","u","l","u","R","u","R","D","l","r","u","R","L","u","L","R","l","u","d","d","l","R","u","l","l","R","u","R","D","D","R","R","D","R","l","d","l","R","r","U","l","l","l","u","l","l","l","l","R","u","R","l","r","u","d","d","d","R","L","D","D","l","R","d","d","l","u","l","R","l","u","d","d","R","u","R","D","l","U","l","l","l","l","l","l","R","l","l","R","r","l","u","l","R"
"R","u","R","d","D","R","r","R","l","D","l","l","R","d","R","R","D","R","r","R","D","r","l","R","R","d","R","U","R","l","u","l","R","R","l","R","l","d","R","l","R","R","L","D","R","R","r","u","d","l","R","u","R","l","R","l","R","d","R","u","l","u","l","l","R","d","d","l","R","l","R","R","l","d","R","R","R","l","R","u","l","L","R","l","l","u","D","l","u","l","D","R","r","R","d","u","D","l","l","l","r","l","l","l","l","D","R","l","U","R","u","l","u","R","R","D","l","l","u","l","u","l","r","l","d","R","l","u","R","l","u","r","l","d","D","u","d","R","R","u","R","R","l","d","l","d","R","R","R","R","l","R","D","l","R","R","l","r","l","R","D","d","R","R","u","R","u","u","R","d","l","r","D","U","d","l","D","l","l","D","l","R","l","l","R","d","l","D","R","u","l","r","d","D","l","u","R","l","d","u","R","R","u","D","u","r","l","u","d","R","l","u","R","r","R","U","R","d","u","d","D","D","u","l","l","D","l","d","l","d","R","R","r","u","l","d","u","l","l","d","u","d","R","R","U","L","l","r","R","R","l","u","u","R","l","r","l","l","u","R","u","D","l","l","l","l","u","l","u","l","u","l","u","R","l","u","l","l","d","d","R","r","l","d","R","l","u","R","D","l","u","D","R","l","l","u","R","D","R","d","D","d","u","R","l","R","L","u","u","l","u","R","l","r","u","R","R","l","R","l","l","l","l","l","R","u","l","d","u","d","d","R","R","D","R","r","l","R","l","u","u","r","R","R","d","l","R","d","R","D","R","l","R","u","R","l","R","d","l","d","d","R","l","R","D","l","D","u","R","l","d","u","l","l","r","l","u","L","R","l","l","l","R","l","R","R","l","D","l","l","l","u","R","R","D","R","l","L","r","u","R","u","l","l","l","R","R","R","u","R","l","D","l","d","l","u","l","u","l","l","l","l","R","l","u","l","R","u","u","l","R","u","u","R","D","u","l","R","R","R","l","d","l","u","R","d","D","l","l","r","l","R","u","R","l","l","l","l","l","R","u","u","R","u","u","d","l","R","R","u","R","u","R","r","l","u","R","d","L","R","l","l","r","l","l","r","l","U","l","R","R","d","l","d","l","R","R","R"
"r","l","l","u","R","u","D","R","l","R","D","l","u","l","l","R","l","u","R","u","d","d","R","u","l","r","R","R","u","R","l","r","l","u","R","R","u","u","u","l","R","u","d","u","u","R","l","d","R","u","l","u","R","R","d","L","R","l","R","D","l","l","l","R","l","R","l","R","l","R","r","l","R","u","l","l","l","l","l","R","l","R","d","D","r","R","l","u","u","l","l","l","R","l","l","l","l","R","u","R","d","u","u","R","D","u","u","D","R","d","U","u","l","R","l","u","R","R","l","R","l","D","r","R","L","l","u","R","l","u","R","l","l","d","l","l","l","R","r","u","R","R","l","d","R","R","l","u","l","l","l","l","R","l","R","R","R","l","l","R","R","r","R","l","R","R","u","r","u","l","d","R","l","R","D","R","R","l","u","R","u","u","D","d","R","R","R","R","l","l","u","u","R","l","u","R","u","u","d","R","R","R","D","l","l","u","l","d","d","R","d","D","r","d","l","R","l","D","U","D","d","l","u","l","D","D","r","l","R","l","l","l","u","l","u","l","l","R","D","d","u","L","l","R","u","D","u","d","R","l","d","r","L","l","l","d","l","R","D","R","R","l","l","u","R","d","d","R","R","u","R","u","l","D","R","R","l","L","u","R","R","d","l","D","l","l","l","R","l","u","R","d","d","D","u","l","d","u","l","R","d","d","R","R","l","D","R","u","l","u","u","d","D","l","R","u","u","R","R","l","r","R","R","R","r","l","r","u","R","l","l","r","r","u","r","R","l","R","u","R","u","R","R","R","l","u","R","u","r","D","R","u","l","l","R","u","l","l","l","R","R","l","U","R","u","D","l","u","u","l","u","R","R","l","R","R","R","d","R","l","l","u","l","l","D","l","R","u","l","l","l","d","D","R","l","l","r","d","l","R","d","R","l","D","R","d","l","l","R","d","l","R","r","r","l","l","l","R","d","D","u","d","l","l","r","D","R","d","l","l","l","R","R","l","R","R","D","d","l","l","R","u","u","l","l","l","l","d","R","l","D","R","R","r","l","l","u","U","l","R","L","l","R","U","l","D","d","d","d","R","D","D","d","d","l","u","R","l","R","R","D","L","d","R","R","l","R","l","u","d","L","U","R","R","R","r","u","R"
